Compare;Size;Assignment
207482;647;312838
207849;648;313391
208920;649;315000
209387;650;315703
210482;651;317348
211083;652;318252
212382;653;320203
213277;654;321548
213282;655;321558
213313;656;321607
213318;657;321617
214379;658;323211
215024;659;324181
215695;660;325190
216654;661;326631
216997;662;327148
217690;663;328190
217829;664;328401
218642;665;329623
219517;666;330938
220218;667;331992
220233;668;332017
221516;669;333944
222325;670;335160
223036;671;336229
224049;672;337751
224100;673;337830
224925;674;339070
225958;675;340622
227017;676;342213
228342;677;344203
229285;678;345620
230096;679;346839
230667;680;347698
231316;681;348674
232237;682;350058
232894;683;351046
234223;684;353042
235374;685;354771
235721;686;355294
236550;687;356540
237323;688;357702
238162;689;358963
239235;690;360575
240114;691;361896
241193;692;363517
241496;693;363974
242169;694;364986
242706;695;365794
243359;696;366776
244520;697;368520
245471;698;369949
246752;699;371873
247901;700;373599
248952;701;375178
249141;702;375464
249648;703;376227
250699;704;377806
250806;705;377969
251327;706;378753
252494;707;380506
252989;708;381251
253710;709;382335
253929;710;382666
255192;711;384563
256577;712;386643
257580;713;388150
258691;714;389819
259298;715;390732
260303;716;392242
261622;717;394223
262363;718;395337
263070;719;396400
264411;720;398414
265670;721;400305
266815;722;402025
267092;723;402443
268491;724;404544
268794;725;405001
269489;726;406046
269824;727;406551
271237;728;408673
271620;729;409250
272797;730;411018
273560;731;412165
274041;732;412889
275450;733;415005
275933;734;415732
276748;735;416957
278197;736;419133
278934;737;420241
279701;738;421394
279972;739;421803
280763;740;422992
281240;741;423710
281721;742;424434
282110;743;425020
283079;744;426476
283364;745;426906
283619;746;427291
284894;747;429206
286151;748;431094
286618;749;431797
286799;750;432071
287406;751;432984
288795;752;435070
289226;753;435719
289425;754;436020
289518;755;436162
289943;756;436802
291224;757;438726
292151;758;440119
293352;759;441923
293699;760;442446
295160;761;444640
296463;762;446597
297446;763;448074
298261;764;449299
299208;765;450722
300603;766;452817
301540;767;454225
302625;768;455855
303428;769;457062
303615;770;457345
304200;771;458225
305293;772;459867
305388;773;460012
305479;774;460151
306874;775;462246
308301;776;464389
308644;777;464906
308655;778;464925
